dt_8601,speed,count
2014-11-26T00:00:00,76,25
2014-11-26T00:05:00,73,21
2014-11-26T00:10:00,71,14
2014-11-26T00:15:00,76,8
2014-11-26T00:20:00,74,27
2014-11-26T00:25:00,75,13
2014-11-26T00:30:00,72,15
2014-11-26T00:35:00,69,15
2014-11-26T00:40:00,75,20
2014-11-26T00:45:00,73,17
2014-11-26T00:50:00,71,15
2014-11-26T00:55:00,72,24
2014-11-26T01:00:00,72,15
2014-11-26T01:05:00,75,28
2014-11-26T01:10:00,72,30
2014-11-26T01:15:00,73,15
2014-11-26T01:20:00,76,10
2014-11-26T01:25:00,74,16
2014-11-26T01:30:00,71,14
2014-11-26T01:35:00,73,17
2014-11-26T01:40:00,72,17
2014-11-26T01:45:00,70,10
2014-11-26T01:50:00,72,13
2014-11-26T01:55:00,71,13
2014-11-26T02:00:00,74,16
2014-11-26T02:05:00,72,10
2014-11-26T02:10:00,72,14
2014-11-26T02:15:00,73,8
2014-11-26T02:20:00,71,22
2014-11-26T02:25:00,77,13
2014-11-26T02:30:00,75,8
2014-11-26T02:35:00,71,9
2014-11-26T02:40:00,71,16
2014-11-26T02:45:00,66,5
2014-11-26T02:50:00,70,19
2014-11-26T02:55:00,72,9
2014-11-26T03:00:00,75,15
2014-11-26T03:05:00,73,9
2014-11-26T03:10:00,70,18
2014-11-26T03:15:00,69,9
2014-11-26T03:20:00,69,8
2014-11-26T03:25:00,73,19
2014-11-26T03:30:00,71,10
2014-11-26T03:35:00,74,14
2014-11-26T03:40:00,76,12
2014-11-26T03:45:00,74,15
2014-11-26T03:50:00,72,15
2014-11-26T03:55:00,71,17
2014-11-26T04:00:00,74,20
2014-11-26T04:05:00,71,21
2014-11-26T04:10:00,70,17
2014-11-26T04:15:00,71,21
2014-11-26T04:20:00,69,18
2014-11-26T04:25:00,73,18
2014-11-26T04:30:00,78,10
2014-11-26T04:35:00,74,16
2014-11-26T04:40:00,77,13
2014-11-26T04:45:00,73,15
2014-11-26T04:50:00,75,17
2014-11-26T04:55:00,73,20
2014-11-26T05:00:00,74,22
2014-11-26T05:05:00,71,15
2014-11-26T05:10:00,72,28
2014-11-26T05:15:00,73,29
2014-11-26T05:20:00,71,30
2014-11-26T05:25:00,73,36
2014-11-26T05:30:00,70,26
2014-11-26T05:35:00,73,25
2014-11-26T05:40:00,72,24
2014-11-26T05:45:00,70,13
2014-11-26T05:50:00,73,43
2014-11-26T05:55:00,74,37
2014-11-26T06:00:00,75,28
2014-11-26T06:05:00,75,39
2014-11-26T06:10:00,73,32
2014-11-26T06:15:00,74,45
2014-11-26T06:20:00,73,38
2014-11-26T06:25:00,74,49
2014-11-26T06:30:00,75,45
2014-11-26T06:35:00,73,49
2014-11-26T06:40:00,74,53
2014-11-26T06:45:00,72,34
2014-11-26T06:50:00,73,51
2014-11-26T06:55:00,73,27
2014-11-26T07:00:00,74,55
2014-11-26T07:05:00,72,35
2014-11-26T07:10:00,73,45
2014-11-26T07:15:00,75,51
