dt_8601,speed,count
2014-11-26T00:00:00,68,44
2014-11-26T00:05:00,69,18
2014-11-26T00:10:00,65,30
2014-11-26T00:15:00,67,21
2014-11-26T00:20:00,68,13
2014-11-26T00:25:00,72,20
2014-11-26T00:30:00,69,49
2014-11-26T00:35:00,70,56
2014-11-26T00:40:00,70,49
2014-11-26T00:45:00,71,40
2014-11-26T00:50:00,74,36
2014-11-26T00:55:00,66,47
2014-11-26T01:00:00,66,51
2014-11-26T01:05:00,68,29
2014-11-26T01:10:00,66,29
2014-11-26T01:15:00,67,38
2014-11-26T01:20:00,70,37
2014-11-26T01:25:00,70,37
2014-11-26T01:30:00,68,33
2014-11-26T01:35:00,66,40
2014-11-26T01:40:00,67,34
2014-11-26T01:45:00,69,28
2014-11-26T01:50:00,71,29
2014-11-26T01:55:00,71,32
2014-11-26T02:00:00,71,25
2014-11-26T02:05:00,72,26
2014-11-26T02:10:00,72,35
2014-11-26T02:15:00,68,37
2014-11-26T02:20:00,75,25
2014-11-26T02:25:00,68,41
2014-11-26T02:30:00,67,46
2014-11-26T02:35:00,69,46
2014-11-26T02:40:00,69,34
2014-11-26T02:45:00,67,39
2014-11-26T02:50:00,68,37
2014-11-26T02:55:00,70,53
2014-11-26T03:00:00,71,29
2014-11-26T03:05:00,72,25
2014-11-26T03:10:00,75,35
2014-11-26T03:15:00,74,29
2014-11-26T03:20:00,75,23
2014-11-26T03:25:00,73,26
2014-11-26T03:30:00,71,24
2014-11-26T03:35:00,69,31
2014-11-26T03:40:00,70,31
2014-11-26T03:45:00,69,41
2014-11-26T03:50:00,69,35
2014-11-26T03:55:00,69,26
2014-11-26T04:00:00,69,40
2014-11-26T04:05:00,71,35
2014-11-26T04:10:00,68,27
2014-11-26T04:15:00,68,27
2014-11-26T04:20:00,68,38
2014-11-26T04:25:00,65,47
2014-11-26T04:30:00,65,33
2014-11-26T04:35:00,62,26
2014-11-26T04:40:00,63,42
2014-11-26T04:45:00,68,43
2014-11-26T04:50:00,70,37
2014-11-26T04:55:00,71,22
2014-11-26T05:00:00,70,60
2014-11-26T05:05:00,68,33
2014-11-26T05:10:00,67,60
2014-11-26T05:15:00,67,60
2014-11-26T05:20:00,64,65
2014-11-26T05:25:00,60,57
2014-11-26T05:30:00,62,34
2014-11-26T05:35:00,64,41
2014-11-26T05:40:00,67,46
2014-11-26T05:45:00,65,32
2014-11-26T05:50:00,63,28
2014-11-26T05:55:00,64,38
2014-11-26T06:00:00,68,30
2014-11-26T06:05:00,68,51
2014-11-26T06:10:00,70,67
2014-11-26T06:15:00,73,45
2014-11-26T06:20:00,71,69
